Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141
23.02.2018 10:00;8,90567;9,33375;18,2737;11,8831;20,4694;14,3463;18,4386;23,3642;19,0034;42,2488;29,2637;62,797;12,4349;15,9121;13,1169;16,9159;23,4;23,7;3,3;14,6;14,3;4,8;28,0;10,0;21,0;18,1;5,5;10,4;2,8;14,0;6,4;12,0;4,0;21,4;32,4;69,4;28,0;16,8;23,0;18,1;15,4;22,5818;3,0;6,62455;10,5994;8,24284;9,86592;14,3515;75,1846;23,1735;13,5145;34,381;28,7346;;11,9374;6,70103;12,0026;33,2355;9,59994;11,1693;13,861013;6,11;6,72;8,8;14,02;11,16;39,22;9,69705;15,21;24,65;50,84;24,06;29,82;16,1516;10,1521;11,5171;10,2;30,1;0,7;;6,00032;8,19778;21,0309;4,1995;20,9571;13,4302;19,2954;33,7101;34,8772;23,7142;32,3461;;42,5445;33,934;29,7323;50,8691;;13,7501;47,7655;47,3096;31,7;;10,6;12,0;4,2;6,35;30,3092;22,6954;22,4097;14,6873;35,33;24,9813;29,4066;36,1543;38,0378;20,8732;27,8021;36,0509;43,1103;26,9008;6,91666;10,2876;40,1659;14,7223;12,3467;12,7424;18,8928;2,2335;;;7,97274;;;;;;38,709;19,8375;19,5765;23,013;6,09609
23.02.2018 11:00;6,88001;10,4098;18,1317;11,2452;22,984;13,3611;18,0073;25,0968;17,7258;23,6323;25,744;56,4592;11,6744;15,0607;11,9091;14,8993;22,6;20,8;2,7;12,8;8,0;3,8;22,0;7,0;14,0;16,0;3,3;10,3;2,1;15,6;5,9;8,2;3,9;18,2;32,2;58,4;26,6;13,2;18,6;16,22;10,6;19,9446;3,0;5,11194;6,70475;8,78298;11,9468;15,9543;70,847;;;30,42;;;10,5807;;;45,0846;;;13,894225;4,61;6,14;8,0;11,22;9,16;27,92;7,0524;13,01;20,25;46,44;11,76;31,42;16,3736;9,62291;9,25089;7,4;11,9;1,1;7,2;5,79035;8,26683;11,2426;4,35564;21,7893;11,0556;18,997;34,5897;30,2132;21,3531;23,4765;;20,9742;29,6929;22,5383;;;15,213;;24,6463;30,3;;10,9;12,0;6,1;3,69;33,2031;22,9217;24,7312;12,5735;29,2095;29,9318;31,9888;34,5769;35,6515;13,0839;24,0763;28,2001;41,8755;26,7781;7,12061;9,14573;28,8733;8,76347;8,88387;7,54231;14,254;2,50152;5,49303;9,0742;5,21893;10,2109;4,24686;4,17452;20,2821;11,151;36,9643;11,5294;12,3427;23,1134;4,41088
23.02.2018 12:00;7,29269;9,99126;20,8181;11,4486;23,1367;13,2031;13,3516;31,1271;19,3364;20,7266;26,6623;64,965;10,5202;11,6674;12,9294;14,7925;18,0;13,5;3,2;11,4;8,2;3,0;16,0;6,8;8,6;11,0;2,0;10,7;2,2;11,6;9,8;8,3;4,7;18,4;23,9;53,4;26,2;13,4;18,2;14,13;9,0;21,2168;2,9;4,80178;4,191;9,51326;11,4855;13,1255;66,7994;;17,2383;34,3343;15,2459;;10,9163;8,35385;11,08;39,2601;10,1371;9,97427;14,198121;2,91;2,28;6,9;8,32;8,46;27,22;6,56265;15,61;22,35;33,14;12,16;32,02;13,4302;7,88089;7,84132;5,9;15,0;1,2;5,5;5,26784;7,56735;11,4401;2,41071;18,9543;12,7738;16,7575;29,862;29,097;25,9219;17,9575;;19,996;21,2688;19,2203;14,0186;;18,1977;39,4769;12,8128;30,8;;9,9;11,0;3,7;2,98;34,9172;21,6162;24,0704;12,1099;36,6116;23,2903;28,4559;30,5256;35,9934;13,5763;23,2801;26,4464;42,448;25,8417;7,31606;9,11174;27,724;5,91548;8,06808;4,48451;10,1405;2,53266;5,70882;8,78256;5,68034;8,8967;4,4294;4,31814;10,9393;9,40463;30,6313;11,3063;10,7912;25,385;4,70883
23.02.2018 13:00;9,16167;10,687;31,8848;11,1857;19,8391;12,1446;15,6869;26,1499;18,6693;23,158;29,6641;53,186;9,37252;10,5978;13,3033;13,4791;22,1;15,8;3,3;13,0;8,0;3,1;17,0;6,3;9,2;12,7;2,8;9,6;2,2;7,5;10,4;6,9;4,3;15,4;24,3;63,8;27,8;15,9;17,6;12,65;9,6;21,1855;3,0;4,96801;7,2263;9,24983;10,6293;12,2648;;;10,1081;41,653;16,1547;20,6862;10,4301;7,47167;11,2218;37,0145;9,20303;12,376;14,129062;2,21;1,74;6,7;6,42;7,36;21,42;6,0729;16,11;22,25;47,44;13,16;27,52;12,9883;8,78518;7,40581;7,2;12,4;1,5;5,7;4,09371;7,26781;13,0191;1,90563;20,8123;14,8201;11,4435;20,2216;35,9784;22,3972;5,50634;;22,0438;22,7318;19,3133;4,86859;;23,6317;19,9055;7,0223;32,1;;8,6;11,0;2,9;2,16;32,9753;22,0592;23,6722;9,78413;34,4611;24,5262;29,6503;33,8666;32,5895;14,169;24,7004;30,7411;41,0257;31,7615;7,35854;8,63427;20,8652;6,25451;7,40316;3,19408;8,476;2,85196;;7,92359;5,98518;8,19423;6,80263;4,698;12,035;7,66198;17,7535;10,6174;8,12563;23,5165;3,57066
23.02.2018 14:00;8,49406;10,4284;39,9138;11,1241;26,7596;13,539;15,4245;28,9897;19,9274;25,7122;26,3213;52,443;6,91613;8,89239;14,4708;13,0058;20,6;13,6;3,1;10,2;4,8;3,0;16,0;6,2;9,6;8,7;4,0;9,9;2,2;15,2;6,5;7,4;5,0;14,7;27,9;63,9;27,5;13,9;16,3;15,01;7,8;11,5761;3,2;4,92499;6,15983;9,32578;10,8036;13,2555;70,7929;;14,4526;34,278;20,2024;26,5646;9,81865;6,9379;9,72624;46,0123;8,10674;14,1945;14,231923;2,41;1,31;7,6;6,62;8,06;18,62;6,0729;15,31;25,75;51,94;11,86;24,92;13,6278;9,82939;9,81812;5,2;17,6;2,7;6,8;4,55207;10,0938;10,1676;1,72877;25,8123;14,2332;14,3759;11,7558;35,3559;24,2643;10,4712;3,08317;11,6641;22,8311;13,6505;3,57683;;24,7503;16,8612;9,67021;37,2;;9,7;14,0;2,9;1,66;34,2388;19,5969;26,3723;10,7614;26,871;27,1961;30,2622;33,5523;32,7071;14,8594;28,264;33,641;34,4139;26,0616;7,12539;9,4559;10,6647;6,27393;9,67419;2,12232;8,34322;2,26263;6,68368;7,4861;6,43165;8,84114;6,78452;6,01729;11,2091;8,24055;27,6974;16,039;11,5291;31,9421;2,99494
23.02.2018 15:00;9,24824;9,90363;30,3347;9,87017;27,0744;15,5225;17,5044;26,0066;21,7252;27,7851;24,0912;58,3712;7,48867;14,8775;16,7098;14,5732;20,0;14,4;3,8;7,2;4,9;2,7;22,0;7,3;11,6;20,9;3,9;10,3;2,1;20,2;9,9;14,7;5,4;13,1;22,8;60,6;27,0;12,7;16,5;20,44;8,0;18,6016;3,6;5,23091;7,45414;8,31986;14,0346;12,132;61,8017;;13,4403;24,1369;17,8383;28,6418;12,0126;7,32402;11,0381;41,1017;7,70345;13,111;19,224854;3,51;1,06;12,6;12,62;10,16;19,02;7,15035;16,11;27,35;52,34;21,66;34,72;13,8907;11,5195;9,28701;4,6;19,4;5,6;7,6;7,63593;8,51592;7,43768;2,06762;25,0996;14,8435;27,7182;33,9663;29,7261;32,4518;37,5023;3,27057;11,6001;27,9622;16,6291;2,75547;;24,4978;21,2973;17,699;36,1;;6,5;19,0;4,3;2,96;39,492;20,7356;37,3796;12,598;19,0478;20,1169;23,5043;24,7089;35,3969;16,7751;22,4989;34,4625;40,5519;28,2291;6,93684;10,806;24,8162;7,19042;14,0229;4,03538;10,0019;2,12416;6,74558;7,43782;9,30503;9,72528;6,8426;5,20864;12,4115;9,53949;33,1212;17,5229;13,3709;36,4066;2,79524
23.02.2018 16:00;10,4698;9,95408;22,4504;12,0907;28,7673;14,9762;22,5324;24,7555;24,4046;23,6159;27,3496;70,4052;9,13777;16,3789;15,5101;15,4224;23,8;16,6;4,1;3,8;5,9;4,3;32,0;11,0;15,5;31,9;4,0;11,0;2,5;20,5;10,6;8,5;5,9;12,2;25,7;74,3;27,4;12,2;17,6;26,21;9,7;16,6886;8,9;5,5772;10,2234;8,8754;15,9386;12,3737;65,6347;12,6634;12,0148;32,7096;18,4897;24,3557;11,0649;6,76901;14,2476;42,8743;8,45271;15,3858;23,923658;2,51;1,16;17,7;15,12;14,16;23,22;8,4237;19,41;35,15;61,44;22,96;39,62;18,5411;12,7395;9,62817;8,1;26,9;8,5;8,9;4,99162;9,8708;8,12122;3,05017;28,8235;19,5837;37,4162;21,7314;23,6749;29,1418;22,1641;3,73841;;27,9006;20,5825;10,6953;;19,5056;20,6369;12,3128;41,8;;8,1;16,0;5,8;5,5;42,8186;22,8718;34,109;14,8366;20,563;27,1424;21,7336;27,0872;28,2701;18,4311;23,7672;28,8342;37,805;29,9929;6,564;17,9441;17,9813;7,07448;17,4008;6,34678;15,5626;1,89166;6,7316;8,49801;10,923;10,2618;5,09645;7,08326;12,5124;12,6127;36,3402;23,0832;14,6237;41,4952;3,6243
23.02.2018 17:00;11,7466;9,9339;21,6058;11,1061;22,4845;17,8049;21,6566;31,2289;31,25;14,3373;26,6177;77,2257;9,39748;19,3181;12,1736;22,1133;31,0;18,6;3,7;9,0;8,5;5,8;42,0;12,6;24,4;41,9;7,9;15,6;2,9;24,3;5,4;7,2;4,5;16,3;31,9;77,3;33,0;10,3;22,0;31,16;14,2;15,6747;4,1;6,24162;15,6258;13,0154;13,8477;;69,3164;22,6168;12,8704;31,8423;26,0302;27,5599;12,7399;5,65527;15,8361;41,3972;9,72572;17,0524;10,420941;1,71;1,2;14,2;21,82;13,26;30,92;13,3212;25,41;34,85;53,14;31,16;38,52;19,7658;15,2596;8,47456;14,6;31,1;7,4;17,0;4,71441;11,369;8,08882;2,67308;27,9149;22,2806;30,1337;20,8921;27,9101;32,8788;9,3399;4,0349;9,80718;18,3802;27,443;11,4254;;23,6168;26,5619;10,8621;29,7;;9,9;17,0;6,9;2,93;47,3193;21,8669;28,7974;18,3212;20,8764;33,0075;26,0616;27,2062;23,2371;17,873;23,9287;24,1703;29,2897;25,8848;6,43919;18,3143;23,2547;9,89284;34,7001;8,59232;18,4131;1,94273;7,99155;11,8836;12,6496;10,7338;7,24103;10,8387;14,8955;16,9132;62,2292;36,5558;21,4999;43,5208;4,54578
23.02.2018 18:00;13,0292;10,346;19,8307;11,0912;28,3828;14,1818;28,4341;45,2136;30,183;9,2169;25,5672;68,5277;13,939;34,9338;15,1499;30,3307;57,3;41,5;3,8;20,8;12,5;6,1;70,0;25,2;39,2;60,0;8,5;20,3;3,7;35,0;12,4;6,6;4,6;23,2;36,6;87,4;36,8;8,8;18,9;33,85;22,8;29,4507;4,3;9,84733;28,8574;23,4714;16,1086;15,5321;79,4011;19,7318;14,0606;36,6579;26,7093;30,3296;14,0061;6,16142;18,9808;44,3242;12,8703;17,7906;7,603378;1,41;1,48;14,4;47,52;29,76;42,62;26,15265;34,31;40,35;53,04;59,06;42,52;16,2956;15,3035;10,3835;18,5;35,5;5,5;51,1;8,90637;13,382;16,5292;3,14152;27,0341;24,4805;27,066;26,2566;28,9274;32,2515;9,81593;3,77893;9,13768;13,7704;30,623;11,8488;;31,442;30,7646;11,4966;46,0;;27,0;20,0;8,5;4,71;47,0024;21,2344;27,5584;16,8713;20,8992;33,306;22,3072;22,037;20,3181;25,1332;24,9208;26,6625;27,3135;30,6106;6,09875;12,163;29,5335;25,3396;46,9391;18,48;25,3621;2,06885;12,6349;20,3441;19,4437;10,6608;30,0915;35,0983;22,3322;26,7423;84,674;45,1094;41,596;51,0637;7,36545
23.02.2018 19:00;14,9115;10,4863;15,5038;11,5081;24,4507;13,5504;25,6999;38,7053;30,1322;9,7342;27,092;69,2845;25,9862;46,3469;13,1747;31,5469;92,8;62,4;8,0;68,7;22,3;5,2;75,0;52,0;65,8;55,9;9,0;27,1;5,4;22,5;14,0;8,1;7,2;39,4;48,4;79,1;44,0;8,3;22,9;30,33;31,3;68,3617;7,8;25,6649;38,6155;34,6614;19,5114;18,2471;75,9218;34,8786;18,206;37,7785;27,6313;36,8655;12,5756;7,02076;34,1271;43,3692;12,8466;20,7882;9,62114;1,01;3,21;22,1;64,82;43,46;56,62;37,71075;64,31;56,75;45,54;86,76;55,32;15,6561;13,2404;7,82964;28,8;54,1;3,8;72,5;9,34979;14,2004;26,7738;4,28978;27,5866;32,3994;13,1021;18,4594;17,2965;22,4366;5,96266;3,48262;7,00967;12,6906;27,0195;11,5604;;25,9938;27,6177;8,58618;43,8;;16,8;31,0;7,8;5,73;47,5449;20,3702;26,5667;15,5047;19,8683;23,1803;19,3516;21,5562;20,9524;18,8969;28,1043;23,5772;27,9757;26,699;8,86265;15,587;27,4075;43,3931;33,4966;24,1225;30,438;2,79692;15,464;29,2623;22,9471;12,1845;20,637;67,0021;67,2408;32,6469;95,8045;50,7859;35,2006;57,5284;21,8319
23.02.2018 20:00;13,5046;17,9409;15,4547;11,2973;25,5571;12,1288;27,4345;35,7804;44,0255;10,3907;26,2459;62,7853;24,5113;35,9021;21,7787;31,3791;96,5;72,9;35,6;54,3;38,4;9,9;83,0;59,7;64,6;70,7;6,0;15,5;6,9;12,0;14,3;11,3;7,3;47,9;58,3;90,9;65,5;8,3;20,6;27,34;49,0;70,7116;3,9;13,5747;52,4286;46,7495;15,7443;13,4349;64,1943;31,3318;15,944;39,9901;30,4519;37,3525;10,6756;5,39396;41,4591;36,5415;11,2863;13,2852;12,676282;1,21;2,54;28,7;65,52;46,76;70,82;23,1162;51,61;57,75;71,44;89,46;85,52;17,8336;12,3949;13,5439;37,6;69,3;1,9;69,4;8,03567;12,4379;20,8806;7,71651;36,0806;52,1163;26,1044;16,946;16,7054;17,4669;4,50036;3,33357;6,46013;21,644;22,5449;11,5402;;22,9203;25,0738;6,68434;32,8;;9,5;35,0;6,1;8,72;47,604;30,2016;25,6293;20,4074;25,8003;24,0115;21,8;22,3985;21,2595;18,2984;25,3961;29,1884;31,2251;21,5148;11,0832;13,0441;28,7894;31,5264;12,3653;20,2035;24,0445;4,21521;25,3471;39,8395;31,2277;16,2003;17,9475;71,6276;88,0126;60,0216;89,1581;31,9447;23,6893;44,9405;19,5215
23.02.2018 21:00;13,4037;14,6693;17,6934;10,5898;20,4931;10,799;36,4119;32,1344;44,3317;11,25;31,3037;60,4723;19,1471;21,8005;22,7592;36,8039;68,1;76,6;58,2;48,7;36,5;23,3;83,0;53,0;63,9;66,2;4,7;24,6;9,8;12,8;7,8;13,2;11,3;58,9;65,0;72,6;62,6;13,0;30,4;27,84;69,9;66,2248;3,5;23,2239;51,3446;52,23;14,5121;13,3538;67,552;18,8337;14,3129;36,5517;27,3772;26,8509;9,28092;5,02856;24,1363;22,0481;9,34163;11,4646;14,578388;1,31;1,9;35,1;69,72;53,76;69,82;16,35765;31,41;43,45;71,04;89,96;93,62;18,4614;11,7783;10,7608;33,9;81,4;0,9;61,0;7,87064;11,265;16,4087;8,47919;39,2132;58,4971;35,8105;13,765;12,6984;16,1729;3,73447;3,72108;8,13662;22,2912;20,1214;7,54041;;18,7442;20,1886;6,91709;30,8;;15,8;26,0;6,3;7,18;46,0765;27,9444;28,6758;20,9837;29,9053;24,2224;23,2802;22,1781;33,5453;19,0032;24,6765;36,0215;34,7575;22,0995;8,71341;10,807;25,3972;29,0352;11,8634;18,462;12,9272;4,65497;27,7143;43,8588;61,7987;18,014;17,5637;62,413;94,0353;69,9367;34,0692;30,8183;18,4671;46,3612;25,3786
