Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147
09.02.2019 16:00;9,92753;9,04164;14,2396;6,76848;10,6068;11,088;11,3679;9,09483;10,1193;7,55559;19,5279;41,8408;12,1624;17,6956;11,9165;14,0734;30,4;33,8;13,6;29,3;;8,9;11,3;14,8;21,1;12;19,8;33,2;6,293184;13,7;3,153091;17,9;7,5;13,05;11,28;8,1;14,9;26,1;14,1;12,5;7,2;14,1;15,5;14,4;11,4115;4,93806;6,98855;5,561;10,4613;9,62753;12,0435;6,80616;71,5948;41,0538;29,7353;36,1046;34,8332;11,9795;16,241;4,89578;14,067;15,7534;13,2702;12,9591;6,225;11,06;10;18,86;18,55;16,04;18,51;14,3835;16,98;19,6;62,6;20,6;24,06;25,28;7,92365;16,252;;11,5814;8,5;4,2;17,3;12,4453;7,03244;16,0295;4,87188;6,88479;14,7521;16,4751;11,5095;13,652;10,6405;12,4522;25,1698;20,718;11,8065;14,1254;16,4384;12,8633;11,7454;12,8835;10,2787;19,3;21,3;14;24,0912;4,41619;25,0695;11,0067;14,5917;9,96577;19,9645;52,3256;10,965;15,4532;10,6265;9,17431;16,593;12,4147;7,38956;9,93815;17,8347;17,1628;15,2296;10,4772;26,461;13,0765;15,2955;11,5971;15,8121;7,95869;19,0032;9,52564;14,7102;19,1811;42,1666;15,4012;19,6182;19,3562;6,87683;;14,4044;13,2905;6,80596
09.02.2019 17:00;11,1231;11,4173;13,5002;8,15096;11,8093;14,0601;13,3973;9,39614;12,2182;9,01296;17,6504;65,4972;13,2565;22,1804;16,781;14,6666;41,4;38;16,8;33,8;;10,8;14,1;14,7;22,7;10,6;18,4;38,4;5,546592;14,4;3,348101;19,5;7,9;14,49;11,4;8,6;15,4;26,5;15;16,8;7,6;14,9;18,7;15,9;26,7685;6,05278;6,88511;7,02186;11,3695;11,2876;14,9959;8,30004;94,2313;36,4348;25,4036;52,1702;36,4332;12,4904;15,3038;5,0907;15,9482;19,8098;18,0173;14,0452;6,168;9,66;10;18,86;23,35;19,44;19,21;14,6065;18,28;20,9;70,7;22,6;28,06;26,08;8,97259;17,3722;;14,2253;8,8;3,9;21,9;9,90622;7,45574;16,1644;5,09442;8,05345;14,8233;16,7555;12,3728;14,6291;10,2268;13,6186;23,5844;22,4147;10,473;13,5366;16,4029;14,4001;11,6901;12,8937;10,1033;29,1;18,6;20;36,5192;9,31994;25,7748;12,2123;16,8799;10,8044;22,9684;63,1433;14,5347;13,7632;10,4326;9,73382;19,9273;16,1984;10,1919;11,1804;21,8297;18,7411;15,4946;10,5866;26,0568;13,7266;16,6454;12,5526;19,4261;8,07622;24,0228;10,8267;18,4409;20,0659;48,5386;16,2169;17,1613;23,3453;7,16841;;;14,3735;8,45937
09.02.2019 18:00;11,0705;10,1766;12,3725;13,3649;12,4232;12,8226;19,9931;10,4292;12,8534;9,70499;16,4257;62,8611;14,0458;25,6564;16,312;17,012;26;28,7;19,1;23,5;;13,3;12,6;15,2;24,7;10,6;17,4;42,8;5,146592;15,5;3,34311;20,6;8,3;14,31;10,08;9;17,8;34,9;16,9;18,6;8,2;15,5;22,2;19,3;28,0124;7,255;5,3904;7,87107;14,3777;12,8336;22,2408;14,1912;107,063;49,5681;32,8625;54,1529;22,5393;15,2846;15,4883;5,60482;14,2136;21,4779;24,1287;19,5661;5,582;9,06;10,4;20,66;18,05;19,64;20,91;15,0525;17,68;26,3;69,1;21,9;27,86;26,48;10,6913;26,2643;;17,0423;10;3,6;26,1;16,4414;7,52372;16,8511;6,4376;9,52477;18,4683;16,6371;12,1751;14,1206;11,5189;14,0155;18,5477;19,3547;11,2256;13,1683;19,706;20,6877;13,6111;12,2374;9,73079;32,8;15,5;23;39,0048;16,8479;40,8092;17,0455;19,7388;13,8423;22,5595;66,8148;21,1564;15,3635;16,1686;9,27978;21,6762;35,8033;12,7783;12,4848;22,5876;18,3667;15,0246;10,9855;30,6918;14,8382;16,0242;12,691;24,6603;12,2455;25,6019;11,5027;26,2282;22,1787;51,1552;17,4528;19,2507;27,2369;6,36643;;26,8685;14,6454;3,8943
09.02.2019 19:00;10,4055;11,6834;11,5276;11,3111;13,3622;10,3551;32,6963;9,73064;10,3953;7,2486;12,6033;60,2917;17,2523;28,6959;13,435;15,74;26,9;25,9;13,8;27,7;;10,7;13,9;15,2;26;11,8;19,2;36,8;5,186367;15,3;3,43812;23;8,3;14,76;11,28;9;16,1;33;14,7;17,7;8,9;17,3;24,5;19,2;29,8501;6,45972;6,1961;;11,4768;11,4257;21,3273;11,6457;99,7517;52,8854;46,2136;53,74;27,8011;15,1529;12,5489;5,29146;13,0871;20,7994;27,5603;19,3521;4,954;9,66;11,4;18,06;20,15;17,34;29,01;16,279;18,98;32,5;88,6;20,6;30,46;29,78;10,8708;27,3024;;16,8293;10,8;3,2;22,3;8,54316;7,20346;16,7141;5,24047;7,43364;18,0562;17,8149;18,4954;15,1433;14,1215;14,5738;24,1003;14,7641;11,8634;18,7639;22,5295;22,3064;13,0132;12,8368;13,7598;34;15,4;31;36,328;15,7867;38,2448;18,5576;19,5295;15,86;23,0407;57,6662;17,8721;17,0683;16,525;10,917;23,9053;37,3047;15,1129;13,9581;20,9104;17,6523;14,2444;11,4927;30,6918;15,373;14,0609;12,1949;22,5832;11,8816;24,833;10,9314;15,8726;21,3007;52,194;17,8501;15,7365;19,2794;10,337;;11,7934;31,8417;3,41929
09.02.2019 20:00;9,34649;11,369;11,4651;10,5399;11,2156;9,65241;14,7357;9,38261;10,2047;7,08608;12,3574;54,902;17,0035;25,3432;12,386;15,2461;35,1;26,4;10;40,6;;8,9;11,5;14,3;20,2;13,1;21;32,1;3,672735;16,1;3,733129;22,8;9,1;14,85;9,48;8,1;17,1;32,3;17,1;19,7;8,9;15,5;22;15,9;33,8025;6,55556;5,67482;6,71006;11,1379;9,62164;18,1497;7,25892;86,5807;36,3121;37,3876;46,9716;58,2751;15,4392;11,1484;5,1077;13,5226;21,1353;29,5463;12,3823;4,534;10,36;9,7;15,46;18,75;18,44;25,91;16,279;18,48;27,1;65,7;17,9;25,46;24,68;10,5819;24,7352;;13,9587;12,1;3,1;23,2;29,3968;6,94268;17,6658;4,83205;6,99859;19,0425;20,0588;14,7817;13,7802;11,9886;15,1965;28,2579;17,0947;11,1927;19,3287;17,6915;18,7325;9,19261;10,7362;14,4431;30,1;15,7;33;25,4296;7,91993;31,3063;15,2875;18,1883;33,8881;22,3518;56,0832;22,273;18,0854;29,3232;9,78521;22,9169;30,7248;14,8333;13,1832;15,3146;19,563;13,8546;10,7311;31,0057;12,4243;13,1779;10,7789;19,1585;13,0235;22,9682;12,3732;18,2344;18,4349;49,6722;16,371;11,6212;17,5617;9,19406;;10,7325;27,3837;4,72636
09.02.2019 21:00;8,95878;11,0333;10,2664;8,57001;10,5273;9,13458;11,2346;7,93125;9,59686;5,99306;23,2483;52,1025;15,0033;22,7604;12,9697;14,2577;36,7;31,1;10,8;32,3;;8,1;13;13,6;17,8;11,5;20,9;49,8;2,739775;15,3;9,028139;23,2;10,1;15,21;8,4;7,7;15;29;16,6;17,6;16,3;14,8;18,9;16,7;21,3735;5,30139;6,48821;6,88745;10,3089;9,22217;15,6295;7,39805;84,4209;33,1674;32,0531;60,6417;62,3741;14,403;10,6743;4,96217;13,128;15,638;21,7124;24,2973;4,565;9,56;8,5;14,96;19,05;11,84;17,61;15,0525;18,28;21,8;60,8;16,1;22,66;20,78;10,3774;22,5803;;12,8152;10,8;3,8;23,2;12,7287;6,91772;15,3045;3,77514;7,18737;15,8207;13,8875;13,2968;10,9477;9,83549;13,1246;24,2871;15,1155;8,37165;12,9659;17,461;19,0397;10,5433;8,76111;10,0268;30,1;16,1;25;22,944;8,90939;27,5121;13,298;20,5737;35,8851;21,663;60,8255;22,908;17,8703;22,4548;8,81215;19,623;36,4379;15,4553;12,9793;15,8659;17,6511;12,2607;9,81865;23,6971;12,8115;12,8111;10,1583;18,1076;11,4744;19,9628;12,0306;14,4784;16,4299;37,0469;12,581;11,2399;11,4128;4,8602;;7,37401;10,7216;7,1222
09.02.2019 22:00;9,02623;8,82547;9,47812;7,87372;13,0435;9,54832;7,50619;7,93236;9,22585;5,69139;17,0513;47,9785;15,3087;20,2101;20,0378;13,2746;17,7;23;10;28,2;;7,8;10,9;12,8;17,5;38,8;25,2;27,2;2,886367;14,6;4,723149;19,9;9,6;13,14;6,6;7,3;13,1;27,2;16,6;13,2;11,3;14,8;16,4;14,3;14,2348;4,43139;6,86976;6,62402;8,78352;7,56394;11,4077;7,10034;70,9017;36,8665;29,1235;66,1565;59,6976;9,8726;10,5901;5,00732;11,0938;14,6739;14,0094;35,0501;4,48;9,36;8,2;16,56;16,65;10,94;17,01;12,042;15,48;22,1;51,5;15,6;22,26;18,78;8,51159;17,8413;;12,0344;10,7;4;23,4;17,1037;6,83168;14,7957;3,52711;8,33886;17,7678;12,2124;8,23044;12,5041;6,98164;18,6656;24,5219;10,5085;7,63233;12,8655;13,1204;9,36405;7,32796;5,88301;10,6873;41,6;16,7;24;16,4432;8,60506;27,1435;14,2898;38,1841;13,0563;24,5113;52,0946;10,9324;29,5712;18,2198;9,23229;20,2661;37,8783;17,067;9,48618;13,1992;16,6313;11,8464;9,63914;23,2345;10,1134;12,4237;10,1173;14,5775;8,64703;16,1564;9,78201;11,3826;11,7822;28,0673;10,8835;7,92524;9,25383;5,61384;;5,39452;10,8044;2,89562
09.02.2019 23:00;8,07289;10,0741;8,40649;6,93525;11,8716;8,91311;5,608;7,56779;8,4292;4,59411;17,8841;47,5148;10,6456;13,5121;14,5376;12,5778;13;17,4;9;20,1;;7,6;10,2;12,6;15,8;15,6;21,4;25,4;3,293184;13,4;4,218158;17;9,6;14,31;5,76;7,6;13,4;20,5;12,1;12,1;11,2;13,8;17,2;10,1;11,5596;3,88111;6,74814;5,43539;8,63321;7,59479;11,4258;10,3935;62,797;30,6016;33,0001;60,6846;66,3089;8,3738;10,2991;4,5341;10,157;13,9285;11,5328;53,6661;4,316;9,46;7,6;13,86;14,55;11,04;15,11;10,8155;12,78;20,5;60,3;15;21,26;21,38;7,78396;14,6717;;10,4167;11,6;3,8;19,8;18,4779;7,37235;14,0378;4,23136;6,81298;18,0753;10,3418;;8,05588;4,03104;12,1144;41,2555;9,72563;5,86866;7,62702;9,96368;5,78909;7,05848;5,18954;6,09078;37;16,4;34;12,8104;8,69004;23,8963;13,2082;25,3576;9,8638;19,5125;44,1757;10,0549;18,6117;18,4006;9,38668;23,2276;30,891;17,3295;9,0974;9,40173;14,9899;11,3727;8,73678;21,5727;10,0736;11,827;9,31024;13,6879;8,27407;13,3549;9,02282;11,396;10,0353;22,535;7,61082;9,12502;8,80304;7,67987;;3,94261;8,2609;7,83123
10.02.2019 00:00;7,90453;8,4999;8,27991;5,43167;10,0253;7,47645;4,21437;6,5967;8,54513;5,18577;13,5375;39,6809;8,40377;12,612;14,4691;10,1973;10;12,1;9;17,8;;7,3;8,6;12,2;14,4;10,5;17,7;15,2;2,246592;13,4;3,813168;17,4;10,1;13,23;5,04;7,8;12,3;15,8;11,5;11,7;9,3;12;16,3;10;7,64907;3,16056;6,77974;6,02014;8,85097;7,02835;8,55939;9,79451;68,2233;30,7221;25,9915;66,198;59,5318;5,92856;7,4003;4,49267;8,39899;11,8369;13,4884;65,0595;4,312;;7,1;13,26;13,45;13,44;17,41;10,1465;11,68;21,1;58,2;25,4;20,36;20,48;7,54762;12,1818;;9,5839;10,2;3,5;17,9;18,2948;7,5216;12,9102;3,58447;6,37833;25,2835;10,2005;7,67365;6,33546;3,73747;6,79729;;10,0123;5,91886;5,50519;8,02224;4,86593;6,59985;4,06566;5,20389;23,2;16,4;30;11,8544;5,20542;21,0633;12,514;17,7232;9,05279;20,0494;33,8058;9,90764;17,3254;13,8673;8,47692;23,7837;14,3193;17,7186;8,2455;13,2826;12,5445;10,5951;7,83123;18,8348;9,27586;11,2174;9,00464;12,8849;7,93894;12,2332;8,21822;8,09729;9,91204;15,8928;5,85869;6,92356;10,7631;4,78956;;3,79931;7,11954;9,03473
10.02.2019 01:00;7,01598;7,49663;9,90719;5,53365;11,1443;7,31181;4,14001;6,24389;7,89552;5,87515;18,6845;28,5095;8,29596;10,1654;11,5256;10,3588;7,8;9,9;8;15,5;;7;8,5;11,6;14,4;10,7;15,7;12,3;2,239775;13,1;3,708177;15,4;9;13,14;5,16;7,5;12,2;13,4;10,5;10,8;8,9;12,3;16,8;9,7;8,81069;3,16639;7,0761;6,06688;8,33407;7,70083;8,52274;8,13203;64,4027;21,5928;19,3059;74,6887;50,4897;5,60352;6,03003;4,47142;7,631;10,1842;17,6316;51,905;4,252;9,06;7,2;12,76;13,15;14,84;29,21;9,0315;8,58;19,5;56,9;24,1;17,46;19,48;7,39254;11,7923;;9,97639;9,7;4,3;13,1;27,3756;7,2964;12,2049;3,14312;6,14007;16,7066;9,26258;5,0324;5,21491;4,2905;5,08029;7,15476;16,212;5,36169;3,97851;7,2629;4,11136;5,93682;3,98758;4,69535;22,9;17,1;18;11,0896;5,27606;25,4668;13,2519;20,1459;8,37084;17,6026;33,579;9,74599;15,1951;11,3074;8,58291;18,5666;39,4201;16,7223;9,05916;10,5144;10,7272;9,88292;6,90073;14,1839;9,39854;10,8949;;;;;;5,61199;;13,7739;5,48107;6,30588;7,77782;4,34874;;3,37808;6,10029;8,97631
10.02.2019 02:00;6,82106;5,35254;8,57988;5,93092;10,6015;7,07546;3,78098;6,08513;7,09521;4,67006;9,69862;19,8519;7,85088;8,90106;9,22274;9,56425;6,8;8,9;7,8;14,7;;6,7;8,7;11,1;14,4;10,1;13,6;12,7;2,546592;12,4;3,503187;13,5;8,2;13,86;5,04;6,9;12;13,5;10,9;10,8;11;11;13,4;9;9,86911;2,49889;6,99048;5,87515;7,54815;6,07328;8,05271;7,76415;71,1786;20,5614;23,0842;69,6441;41,2547;4,28531;5,09753;3,82188;7,11583;9,70704;19,2225;11,4778;4,263;7,66;6,9;11,56;12,65;17,14;22,71;9,143;8,48;19,5;41,6;22,2;16,16;18,78;7,13335;13,0753;;10,1841;9,4;4,6;13,3;29,5329;7,52531;13,5779;1,75107;5,98418;9,43413;10,09;5,14772;4,1669;15,8119;4,93952;4,75306;12,4019;3,69949;3,10597;7,19438;3,86254;4,7293;4,24155;4,76709;22,5;17,7;20;8,7952;5,14116;17,9675;11,4513;18,9874;8,80476;19,4912;28,2537;9,63207;20,2077;7,32084;8,58531;20,7018;22,2652;14,5373;7,84026;9,31197;9,65517;9,52495;6,73502;12,5613;8,17327;10,9467;8,23565;13,2212;7,33294;10,5686;7,82243;5,28537;8,5477;14,6966;4,66794;5,34351;7,28089;4,32909;;3,07701;6,71543;7,34898
10.02.2019 03:00;6,48699;6,13008;9,06469;4,73857;10,4512;6,6527;8,41492;6,72276;6,1685;3,72415;6,95596;17,683;7,7521;9,25482;8,67623;8,45901;7,2;9,2;7,5;12,8;;6,4;7,3;10,9;14,1;10,5;13,8;12,3;2,086367;12,3;3,498196;10,3;7,5;11,88;4,68;6,7;10,3;13,7;10;10,7;11,1;10,6;10;7,8;7,66818;2,31361;6,65095;5,16081;8,21363;6,63271;9,03367;5,84227;68,3933;16,2286;32,2905;77,3322;33,0664;4,69108;5,2835;4,32749;7,05475;11,394;15,4913;11,0976;4,172;8,36;6,5;11,36;11,75;16,24;21,11;9,0315;8,08;18,9;32,9;22,3;13,76;15,58;8,57479;11,4595;;10,0136;8,9;4,6;20;18,6593;7,56575;11,7138;1,4972;5,98367;7,57311;8,75271;3,84659;3,9359;13,4872;3,91295;4,37461;14,1553;4,37193;3,26273;7,01953;3,67458;3,82545;4,93182;4,26971;23,6;16,6;27;8,4128;4,93455;17,6297;10,7396;18,8443;8,58276;17,2558;28,1616;8,93258;17,9547;7,0515;8,34489;20,6507;29,1389;9,28563;7,66924;7,14949;9,78607;9,73474;6,65217;9,87229;6,6442;10,6813;8,44454;10,1325;7,21301;10,7984;7,59193;5,19048;9,00286;13,7194;4,9473;5,57454;7,96403;4,12567;;2,93141;5,72162;4,1432
10.02.2019 04:00;6,82637;6,04458;8,21034;5,97075;4,38592;7,80893;7,4414;7,21631;5,94439;3,32263;6,83646;19,4142;7,776;9,30517;9,72199;7,58374;6;8,8;7,5;11,6;;6,1;6,7;10,2;12,1;9,3;13,5;11,2;1,693184;12,4;3,493206;9,8;7,5;11,61;4,08;6,2;10,2;12,2;8,6;8,9;9,2;10,6;9,8;7;6,90816;2,5475;6,06802;4,48417;9,11121;11,2789;10,089;9,55929;56,0774;22,2328;34,774;71,6821;28,1324;5,91794;5,45817;4,21012;7,1153;10,6962;15,1421;10,5001;4,154;7,56;6,1;10,36;12,05;15,74;17,41;8,028;7,68;19,4;34,3;21,9;13,26;15,48;7,36864;11,5277;;9,90522;8;4,3;13,7;19,8553;6,78813;;1,50729;5,56831;8,46485;7,78503;3,59384;3,81628;11,8104;3,75009;5,71283;13,6466;4,67162;3,4519;7,28176;4,00614;3,20862;4,71999;4,67197;25,9;16,6;23;8,604;4,93084;17,9165;10,6482;19,2924;8,21523;15,825;31,6999;8,1218;16,5903;8,64224;8,30802;16,9918;17,5506;12,7899;7,96189;12,2794;9,80479;9,24895;6,41051;9,00658;7,03076;10,5118;8,91076;9,4452;6,70206;10,3432;7,40969;5,3209;8,91842;12,7102;4,50435;6,51408;9,58672;6,103;;2,82702;4,86763;4,60371
