Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140
16.01.2020 07:00;11,6276;36,0322;26,5476;12,9567;33,6002;17,6892;15,9025;80,9573;26,9422;40,827;44,7;32,9;15,7;15,779551;27,2;11,3;15,8;31,5;35,0079;14,8;34,5;10,286367;17,2;3,9;;20,7;21,7;17,7;8,4;17,3;28,4;26,6;21,5;9,2;33,7;41,2;23,7;32,6782;9,70388;20,6363;9,38722;15,9408;17,9934;25,4875;11,6032;68,7842;56,8746;42,7449;35,4543;40,7749;38,5603;28,4381;2,8;26,9975;41,4449;32,4316;44,9532;;8,8;7,1;23,78;50,59;28;16,19;16,33;31;40,32;32,66;35,6;22,566587;17,0051;27,8825;26,0057;;21,5;8,1;;26,4;17,3769;6,24017;20,2681;9,75598;28,3184;29,961;13,2188;;29,3102;42,7354;10,9672;8,08038;10,0927;11,62;8,26029;18,4596;7,78166;17,6;48,5;25,9;37;9;9,255;52,6385;38,0902;29,8208;34,8924;12,5917;29,7321;75,8432;20,4196;24,1066;42,6392;23,8164;15,6422;18,1838;30,3258;8,59285;15,5658;14,1902;28,0544;14,12;13,1248;18,0025;20,9826;8,9;25,4554;26,8574;20,1279;40,0163;16,9058;40,7475;41,5993;45,1716;31,0057;73,988;30,796;3,31891;8,32304;16,5455;21,0208;8,48685
16.01.2020 08:00;13,734;37,0896;41,4283;15,3379;44,9523;18,1624;15,6274;80,4108;31,2522;56,3934;50,5;46,6;19,3;19,565918;33,1;14,1;18,9;39,7;44,5729;20;57,4;11,519326;23,9;4,2;;36,6;23,8;18,5;14,7;21,4;44,3;40,8;21,3;10,9;42,3;41,7;28,3;40,8265;9,28303;25,2501;15,9136;24,2033;21,7613;35,6599;11,1629;74,149;62,387;52,4865;49,1241;50,0378;14,7861;24,2674;4,3;52,6799;59,9372;41,6875;44,9872;;10,1;9,2;27,88;51,29;36,1;22,29;27,13;37,9;52,82;46,96;42,7;34,966757;21,7681;37,255;34,1719;;22,7;8,6;;35,3;13,2699;5,82788;27,1783;11,2829;55,0577;44,7334;24,0814;;35,5613;59,8986;36,9627;8,6986;12,4674;25,6525;8,34391;20,907;25,8739;19,8;51,3;30,6;41;43,7;9,605;59,4503;47,0448;42,8936;47,6561;13,2553;34,9179;83,8821;28,5647;27,5347;45,8768;18,3382;8,65626;21,5175;34,4682;13,3038;30,3833;19,1189;33,9497;15,2284;19,3617;27,0197;23,1076;9,61;28,0432;29,1354;26,3721;50,2288;23,4985;52,6889;47,0878;54,0218;40,8531;84,9741;68,7792;2,34964;10,1878;30,8479;44,6657;7,13176
16.01.2020 09:00;14,8334;33,6661;47,1425;16,5104;45,5346;17,3243;24,2149;73,8634;32,9464;53,9843;49,8;47,8;20,9;24,369366;40,1;11,6;17,8;38,4;44,7642;26,3;54,5;10,719326;25,4;4,9;;41;24,4;21,5;21,2;26,6;45,6;41,1;26,1;12,6;40,3;41,7;33,5;43,8804;10,3822;15,8436;11,6572;27,3713;26,0524;42,713;11,9181;76,8831;58,4514;51,4009;45,8917;51,1842;18,2978;23,7415;5,3;57,7786;57,041;41,5112;66,263;;11,6;9,9;32,88;48,79;31,8;24,39;23,33;31,7;52,22;38,06;42,8;40,466928;25,1524;39,1402;34,6931;;25,8;10;;34,2;18,8807;5,58092;30,3932;;39,0305;42,0189;29,9169;;29,667;40,4899;21,2105;6,01195;7,37249;40,901;6,64215;21,8609;11,6082;17,1;59,8;29,9;46;65,4;8,1;46,3612;44,8019;40,6231;48,1114;16,3025;34,2524;75,3732;30,6111;31,1221;43,9967;17,7019;12,2663;23,2466;35,2782;16,5393;38,2777;19,2623;34,4;15,3662;19,5343;29,2958;26,0606;10,08;30,2088;21,2931;28,155;56,3791;26,4468;46,6643;46,4143;52,5928;43,9431;74,8782;52,6223;2,80905;8,26568;38,3836;49,1581;6,2703
16.01.2020 10:00;14,7213;29,1421;38,6718;15,2074;40,2736;17,933;25,036;63,0918;36,7072;;44,1;45,3;20,8;21,461427;33,6;16,9;15,7;33,3;35,1992;28,4;53,4;10,892061;20,2;6,2;;29,2;24,2;25,3;19,2;22,1;34,6;33,9;31,5;13;31,9;40,9;30,5;56,9622;6,07841;13,6676;7,77361;22,5069;23,1705;31,4296;13,6118;82,3259;52,8886;50,8396;44,4386;47,9701;28,2132;24,2136;4,5;31,6038;34,9362;47,8915;87,7199;;11,8;11,2;22,98;47,29;24,3;17,39;17,63;28,7;48,72;29,36;37,7;34,167098;26,1546;33,778;34,3426;;21,2;12,9;;27,3;27,0128;5,02856;31,4555;13,0657;25,6629;39,9576;21,0185;;17,1495;19,8695;9,43515;4,74406;6,62376;29,7842;5,34285;19,6348;7,31829;18,2;62,1;18;39;52,5;7,67;36,0331;50,5567;39,0484;50,998;19,1588;40,4276;78,1541;31,1205;31,6449;43,7402;18,0243;16,877;26,1911;37,1094;18,0907;42,1453;15,4012;32,5703;13,7301;18,0902;32,527;22,8495;9,65;22,0287;23,7649;21,7948;44,8378;19,3738;40,7246;37,9813;47,659;36,9977;53,5769;25,465;3,83462;8,73253;19,5118;47,0458;9,1367
16.01.2020 11:00;12,2628;19,9204;29,5914;13,8881;25,9187;17,9186;24,036;48,1065;32,2698;30,8416;36,9;33,8;17,3;17,035285;36,1;16;9,5;24,7;27,3559;18,3;33,2;9,219326;16,3;6,1;;23,5;21,5;21,2;11,3;17,2;24,4;20,7;22,4;11,3;23,3;32,5;21,7;39,3829;8,94057;14,4075;5,85333;14,041;17,9607;29,2711;15,9811;86,8802;50,6457;50,5273;44,7222;59,5367;27,5041;29,5762;3,7;38,3129;44,2441;;95,9415;;10,8;8,9;20,68;38,49;22,6;14,69;16,03;31,5;46,62;27,86;37,2;31,567268;25,8556;33,3882;29,1364;;21,4;14,5;;18;28,2344;4,59677;34,0662;13,3059;11,2501;25,6479;16,2425;;11,6147;14,3719;8,72439;3,39389;6,10619;17,7566;4,45632;13,953;6,15986;21,9;69,8;17,8;46;34,6;7,36;38,8652;45,6479;37,7439;53,4564;23,0706;42,9626;74,5728;33,5243;31,652;43,4247;21,9252;21,9411;24,5904;37,0195;17,1931;44,4747;14,0989;28,8186;12,7594;16,5531;24,3401;20,0197;8,65;16,7309;17,8553;17,3653;40,5393;20,7311;25,7716;29,4071;41,2672;34,3916;46,7165;18,4233;4,03963;7,83336;14,3676;25,607;9,35021
16.01.2020 12:00;12,0923;12,9458;21,3167;14,768;18,3474;15,6742;25,2618;45,7743;22,9036;26,3277;42,4;25,9;14,8;14,189816;33,1;15,4;7,7;24,2;26,3994;13,5;34,8;6,926143;18;6,5;;25;23,2;21,2;11,7;17,5;18,6;16,6;17,6;11,9;18,2;20,8;20,2;38,6585;8,14176;10,2951;4,38528;12,7068;17,5667;22,8229;19,837;75,2685;54,4936;49,9112;44,4057;65,8544;19,4243;34,5148;4,4;31,6581;36,3478;46,0218;86,8223;;11;8,5;19,58;24,99;20,4;11,69;15,83;30;42,22;22,06;37,4;24,567439;24,7317;20,4843;26,8614;;20,2;11,9;;12,4;21,718;4,99669;34,8705;16,832;8,2581;41,9594;20,8539;;10,0479;11,0121;7,88314;3,50891;6,16996;15,579;3,22899;13,8574;5,60403;26,5;46;18,3;39;37,6;7,815;51,6562;39,9592;30,4805;53,4813;22,0709;39,2682;78,5104;31,5979;33,142;44,6739;28,2657;22,4694;26,1292;36,6242;17,0136;49,413;9,8144;16,3179;13,0043;15,441;12,6025;19,6272;7,98;14,0139;14,4263;14,6914;33,7858;20,8646;17,0934;21,5944;33,6145;29,4076;48,2366;16,6859;3,85056;9,75545;10,6742;14,221;6,26286
16.01.2020 13:00;12,3574;11,4412;19,6543;16,1272;20,9651;16,0714;23,8745;50,062;18,8374;20,0075;32,3;14,2;11,6;9,764796;38,5;9,6;5,9;20,1;21,8082;13,4;34,6;5,679551;22;9,3;;27,8;23,6;21,1;11,8;26,6;19,1;17,9;15,4;12,2;15,7;18,7;18,7;19,9953;6,99856;9,93072;4,13639;11,5841;16,7593;20,2805;22,6498;82,5171;52,5274;50,0455;45,4976;78,2038;18,1592;36,3936;5,3;43,3977;39,8924;49,7002;85,212;;11,8;8,2;19,38;22,49;22,3;10,99;14,13;24,5;32,52;20,26;36,9;23,567609;24,352;17,2932;24,8379;;17,2;9,6;;14,6;26,6872;5,35014;34,3146;21,707;8,7331;53,4404;23,8353;;10,8377;;7,80496;5,00511;6,19706;12,3424;3,59117;11,9655;5,44727;20,3;37;17,1;38;42,1;8,275;56,4099;46,4312;24,1502;51,2071;22,8985;32,845;80,0799;28,6311;32,3684;44,2713;31,0926;26,8701;27,0623;39,0696;13,5864;49,8055;7,67084;13,9427;12,052;15,6242;11,5203;20,3862;6,61;9,99276;11,9857;14,5778;29,4805;15,7663;14,9186;18,693;27,3095;22,7459;37,521;14,9007;3,55844;7,90665;8,39552;15,8271;6,76104
16.01.2020 14:00;13,2847;23,192;22,6636;18,7528;23,5177;15,8032;20,6714;55,8038;15,9503;18,8608;38,1;16,3;10,8;9,038653;41,1;7,2;4,9;;21,8082;11,3;31,9;5,232959;21,1;11,1;8,2;24,5;21,3;20,9;13,1;17,6;19,8;20,6;19,5;12,7;17,2;22,5;19,8;22,7029;5,93522;9,50105;3,31611;10,8198;16,5675;21,996;22,3099;75,9733;53,2274;49,2637;48,4198;81,0009;18,0371;36,4469;6,7;43,3212;47,9598;44,4987;83,309;;12,1;7;21,98;22,79;22,4;10,79;13,83;24,4;48,82;23,16;33;23,467779;26,6384;18,054;25,6165;;17,7;8,2;;13,4;16,9446;5,78554;37,7653;21,6916;9,495;58,3813;23,2827;;11,0567;18,0493;9,5281;5,33722;7,62224;11,9485;3,1946;16,3506;5,92817;20,7;33,2;15,1;34;45,2;6,985;62,6926;39,9151;21,1218;37,9956;21,8437;36,2297;79,2505;29,099;35,4382;44,4763;30,9022;26,8048;30,1264;40,1579;13,3266;44,6314;8,54558;15,774;14,6909;18,6123;14,1207;20,6347;6,12;10,7018;10,467;15,3847;24,2839;10,8204;13,8904;15,3226;21,5126;16,9175;41,9695;14,7195;3,85321;7,23108;8,94856;18,4268;6,58578
16.01.2020 15:00;13,8641;28,2971;32,6044;21,3682;24,4401;14,7421;24,2962;61,2546;17,822;24,7662;51,4;19,2;11,6;8,21251;43;6,1;5,3;;24,6777;12,8;39;5,486367;23,7;14,4;10,8;30,5;24,9;25,8;13,9;22,4;25,8;23,7;20;13,9;21,7;28,9;25,3;22,0655;5,08874;9,67791;3,64667;15,2264;18,4841;28,2737;23,2993;88,0986;55,6918;52,785;56,2325;84,0215;19,9995;36,6443;8,5;54,781;63,4831;47,8267;100,778;;13,5;6,5;22,38;25,19;24,1;13,59;17,63;32,8;54,62;28,26;38,6;28,76795;27,1541;21,3849;29,7168;;25,1;9,1;;33,5;18,4761;6,04511;32,5391;21,5865;14,2962;54,1367;32,0713;;16,0867;25,411;11,3635;6,26526;8,56386;12,2169;3,42384;21,0634;;22,6;39,6;18,2;24;45,8;8,58;67,3634;46,0787;21,647;43,6085;24,535;42,0056;78,1052;33,2454;39,5335;46,9916;38,4912;46,1926;34,0672;44,9498;15,3204;54,4224;15,2392;24,1231;15,7491;26,1838;17,6717;26,0069;5,97;13,3604;11,7682;17,0089;22,3598;16,0147;18,029;22,3651;31,9036;19,2236;53,8393;18,2859;3,61687;8,75749;13,3827;25,351;6,67766
16.01.2020 16:00;22,2307;39,4069;50,4911;37,1914;30,2305;12,6516;26,8355;83,4917;22,1957;56,4975;63,4;42,7;17,2;18,652285;44,6;7,7;19,8;;37,3035;26;67,9;6,293184;42,6;18,8;12,5;36,9;33,2;40;13,6;37,2;38,3;30,6;40,7;18,6;44,9;50,2;44;48,8994;6,09174;14,1382;7,56444;33,2033;41,5537;42,2669;25,0764;82,2383;61,081;55,2711;65,7808;88,5792;24,9734;42,6399;9,9;61,8453;62,467;50,1941;102,636;;16,8;9,1;39,98;36,39;30,8;19,39;25,83;45,9;63,32;37,76;48,7;37,86812;34,3124;44,0994;39,5379;;48,7;10,2;;53,6;20,2054;6,5401;46,8325;33,4584;21,739;61,653;43,0003;;24,7145;55,3725;19,6553;8,78733;9,62133;35,0573;4,53693;33,4649;12,3213;26,7;61,7;21,5;48;49,8;7,54;79,5963;63,4646;34,9328;60,0026;28,984;53,1456;90,1078;38,7515;49,0749;54,2886;47,6205;52,3587;38,3796;50,2419;18,5714;60,518;25,2049;38,2347;22,9389;27,5902;31,317;48,5717;6,18;18,6552;27,4269;24,1263;31,5065;47,8835;32,0524;40,8483;45,5661;31,6813;70,4014;36,5715;3,28705;13,0335;29,7842;40,9768;8,48291
16.01.2020 17:00;21,3634;50,4779;58,1375;26,8716;32,5202;14,0203;53,0681;123,81;34,2094;66,3291;69,6;72,7;39,8;49,068244;58,3;6,5;33,6;;57,9639;44,5;69,7;5,393184;59,1;21,3;15,5;37,2;46,3;42,2;23,8;61,7;58,5;57,3;78,8;21,3;59,5;73,8;51,6;53,7054;5,04317;21,6534;14,5417;;75,9946;67,7645;30,412;87,1198;66,7415;63,139;56,5957;92,1724;51,9028;50,1454;17,3;63,325;104,997;51,2519;98,8929;;19,4;11,9;62,18;51,19;47,4;31,79;37,63;50,3;77,72;55,16;56,9;55,06829;45,3627;64,1325;49,2958;;38,6;12,1;;60,2;31,5853;6,74724;50,3505;34,5467;28,6699;69,5872;62,28;;45,3349;67,2944;34,7792;10,998;15,9932;85,3372;8,78368;49,0018;21,8002;32,9;70,1;31,3;52;62,9;9,215;90,8782;67,5796;54,4142;73,9414;39,6036;60,8871;91,0091;44,3706;57,381;55,3981;49,294;49,185;45,623;53,9437;19,2692;53,3761;53,1701;52,571;48,8617;24,8183;56,5336;48,0406;6,84;40,7204;56,9852;41,9201;59,1664;30,1209;62,4278;84,734;67,3185;59,9348;70,3754;64,7899;5,30527;39,1179;43,3948;62,1081;13,82
16.01.2020 18:00;23,7895;39,9783;67,245;32,0505;53,5083;17,4199;50,8385;113,983;40,1865;76,8947;62,9;65;44,6;47,501363;61,2;24,3;34;;63,129;39,3;63,9;7,686367;59,2;24,6;18;36,8;55,3;39,6;24,2;72;60,4;79,6;60,6;20,8;65;89,3;55,1;48,9254;4,93386;16,1346;17,9964;62,1384;63,8373;58,5136;32,2586;89,9792;62,3864;54,9897;56,9893;86,1122;20,793;51,0547;19,8;63,0839;105,342;54,3448;93,9785;;27;13,1;56,78;49,49;51,7;32,09;40,23;46,3;97,92;61,56;64,3;61,76846;42,2961;57,6772;48,1738;;26,6;12,9;;54,2;33,637;8,78245;47,6503;32,4132;32,8465;68,2834;61,5829;;65,581;74,4902;35,3182;17,3532;42,094;85,8813;9,64345;62,9505;21,5122;33,8;80,5;41,6;46;69,6;7,48;76,8721;139,115;55,5436;67,967;34,3331;62,5766;90,7318;47,007;55,7846;55,1044;54,2126;24,4139;46,6709;79,2392;17,0609;49,055;61,6493;57,4795;53,5484;18,8098;65,0101;31,1831;6,53;55,1035;68,5914;46,237;57,9977;25,0829;70,7496;120,359;74,4114;77,5635;50,0424;61,078;5,55117;32,2353;39,3917;68,9871;20,4441
16.01.2020 19:00;23,7545;32,6049;47,4181;29,6962;44,6304;16,3811;41,2732;102,14;48,0353;67,9997;68,2;62,7;42,3;42,734242;55,6;38,6;23,1;;70,3984;44,6;60,3;8,986367;50,5;27,9;22;45,7;47,2;46,6;32,1;59,6;59,6;84,1;50,1;26,6;64,7;67,8;49,4;47,7238;3,94833;16,79;22,6908;55,7093;44,0003;48,1819;35,159;83,2857;71,1514;43,4369;58,5847;69,8695;28,2333;46,3991;19,3;64,2327;60,3053;52,6068;85,8079;;34,6;16,2;49,58;44,99;53,5;38,39;41,03;43,3;90,82;66,16;62,2;65,568631;38,6463;44,9413;48,4378;;31,1;11,4;;52,8;42,1789;6,8763;48,0878;38,8753;39,172;62,8921;57,2216;;54,8867;66,474;64,1236;20,7816;35,3235;85,4676;8,44675;28,7826;32,537;34,4;66,9;49,2;38;72,9;4,305;67,1799;134,181;62,9622;61,3029;45,6763;62,0646;84,1105;46,836;59,2694;53,9184;48,892;15,8842;46,1249;70,2256;24,6191;41,5265;45,8184;50,122;37,2917;18,4789;56,8565;29,7263;5,6;61,5274;62,9893;42,8059;53,0974;22,7452;59,0856;116,83;72,2294;82,5256;51,7175;47,3417;4,61642;42,61;51,2522;61,4676;17,49
16.01.2020 20:00;29,6355;29,8474;37,839;27,094;46,3688;26,0515;37,4269;94,219;41,5669;57,5199;56,4;61,8;39,8;37,662711;50,2;37,4;41,4;;81,3025;47,2;59;8,439775;47;26,3;27,4;48,7;43,3;45,6;25,7;48,9;53,4;85,7;44,8;27,1;54,5;52,5;42,3;;3,29061;38,4413;22,1244;43,344;40,7939;36,6342;37,182;79,2784;87,3056;51,3908;55,3205;70,3508;38,138;40,0724;15,8;58,6459;92,4788;49,4807;71,7414;;23,8;12,8;46,68;37,19;52,4;45,29;41,43;36,4;80,62;58,76;61;63,568801;32,6989;39,1564;45,1353;;29,1;10,9;;47,4;38,9305;6,66066;47,5824;32,4466;30,8436;58,8986;54,7252;;23,8756;61,8697;62,826;19,0666;37,1467;64,812;8,01721;24,0592;25,0895;31,4;55,1;39,2;37;72,4;4,375;53,5886;105,946;64,6362;53,1337;40,9141;66,4154;84,7579;45,2894;57,1896;52,589;44,5321;18,3245;46,1247;65,8945;28,6481;35,0252;33,8451;45,248;47,1653;18,8332;51,6516;23,4273;5,14;57,4699;47,8544;42,7966;47,6386;20,2758;52,8865;96,4439;78,7364;68,2462;41,4399;35,5035;4,85064;46,6401;43,4006;58,503;12,2262
16.01.2020 21:00;33,6262;25,3839;35,414;22,2874;42,684;27,109;30,3116;66,2359;37,1948;50,165;53,1;61,2;37,9;27,58765;51,3;43,9;41,8;;53,3727;39,5;57,6;7,639775;45,4;22,7;28,7;55,2;39,6;41,9;26,9;39,8;48,3;67,5;41,5;25,5;39,5;50;36,9;33,29;3,83515;20,4754;19,6111;42,1139;45,8308;38,7888;34,9004;75,1692;72,1594;54,7831;57,2517;51,3008;42,5749;41,7402;16,4;57,5895;102,905;46,7736;63,9017;;30,6;11,7;45,98;31,39;47,9;35,69;31,13;35,8;78,02;55,16;62,5;58,068971;28,8043;35,2141;43,9077;;34,4;11,1;;46,6;31,8969;5,40261;42,3368;28,7549;46,0054;58,5449;51,3864;;19,8616;37,2115;52,5767;13,1819;30,5065;58,8154;8,5433;20,6146;15,4778;34,2;50,8;46,5;32;70,7;2,19;51,0585;85,2168;58,0998;54,8145;34,1109;63,1974;95,4099;45,4769;53,1688;40,809;42,4103;12,7312;45,3966;58,7407;29,1001;30,7242;30,8746;37,4651;41,2;21,2322;51,7631;22,4586;5,08;47,9854;44,5058;35,8357;45,2319;21,6527;49,6078;98,6066;70,8707;64,2979;29,594;22,7432;5,55436;40,4303;36,0447;60,7671;12,0785
16.01.2020 22:00;29,8437;26,2783;35,663;19,7966;39,2164;24,0333;29,5685;51,6479;31,7291;47,152;55,5;44,1;34,6;18,576183;47,7;39,6;36,3;;49,3554;32,1;46,8;8,486367;45,8;21;23;53,9;35,7;40,4;26,1;34,2;49,2;54,8;37,5;41,2;30,4;43,4;30,6;31,4875;10,1149;20,7484;18,27;38,2931;45,4512;35,9638;32,4774;58,7913;67,2243;43,0954;52,0478;53,0642;27,7936;37,8408;14,5;56,4827;82,3656;45,9623;60,0278;;34;12,9;49,38;28,49;45,7;35,79;34,23;35,6;64,12;54,96;57,7;55,569142;33,3734;32,6181;42,6265;;44,7;10,3;;43,8;27,6108;9,45043;39,2841;28,4006;37,4423;55,9393;47,278;;14,8946;27,6562;22,8257;9,63863;19,8352;47,9353;7,88521;10,9008;12,2974;24,1;51,3;44,9;;64,9;0,9;50,0138;66,6003;50,9123;54,8084;36,6542;62,755;80,6482;40,9003;59,2547;36,3349;35,781;14,9112;43,3082;52,5162;29,4666;27,3692;23,3376;30,7662;27,929;15,6221;45,6283;18,9171;5,07;40,2486;40,2386;34,7072;37,9429;24,6424;39,4276;78,2438;55,6762;47,3432;28,8032;21,9627;5,29146;47,2652;23,2231;67,3151;8,70253
16.01.2020 23:00;27,7033;21,9896;37,1247;18,147;34,294;21,7012;26,5566;50,104;28,3725;41,6242;55,9;39;33,1;19,493264;37,5;36,6;31,5;;45,1468;27,9;46,9;8,726143;44;20,1;19,9;50,4;34;38;27,1;32,4;53,9;50,3;29,1;38,8;26,2;34,3;25,9;29,6333;10,6332;19,0871;16,0139;34,9365;41,9107;30,2303;30,5947;57,6091;48,3411;34,0772;51,282;45,1027;36,1379;33,6747;12,6;50,9252;47,7413;50,7589;51,7541;;29,1;17,5;51,18;24,19;41,2;41,79;38,33;34,2;60,42;43,16;54;54,069312;26,12;35,624;39,2706;;39;10,8;;39,3;25,5305;5,67424;38,9072;23,0035;34,4137;45,1668;37,7056;;14,7857;38,8205;14,529;7,37925;21,8204;35,5571;7,06578;9,22539;11,9568;24,2;38,8;38;26;60;0,255;46,2163;68,4837;49,2768;50,1759;28,2052;68,8897;77,5452;38,3113;51,9493;36,223;37,3806;14,0066;45,0332;50,4301;31,6651;23,975;25,0759;25,4907;30,5916;10,4002;39,7383;16,9063;5,46;35,283;40,6267;34,0161;32,3671;21,8328;33,5163;54,7002;43,5134;41,099;20,306;18,4989;4,09327;20,7468;18,7954;58,5311;10,7556
17.01.2020 00:00;23,831;20,0712;35,9498;16,6211;32,1108;18,4805;29,5978;39,555;24,848;37,5427;48,4;30,4;23,6;18,192141;35,5;33,2;28,7;;31,5645;22,1;36,7;8,286367;30,3;19,8;18,9;43,9;30,6;29,6;26,7;33,3;39,8;50,7;25,6;40,4;21,5;33,7;21,5;23,55;11,2544;20,5694;12,3983;30,5325;39,1162;32,7844;34,0968;58,4589;;30,4964;47,2105;36,1953;28,5122;35,9706;11,4;41,4411;37,8125;38,3533;41,9333;;21,1;15,8;38,58;23,99;35,9;37,19;31,33;27,2;62,72;33,56;48,8;49,169482;28,015;34,6675;36,8331;;28,5;10,4;;33,6;31,0513;5,7514;36,96;19,6713;30,657;42,0667;32,9195;;14,2437;22,8529;13,0768;5,86028;15,5878;46,0749;7,57462;9,51302;12,9941;30,6;33,3;27,5;31;53,7;0,02;34,3656;57,9767;48,1041;53,7637;26,8905;71,7028;78,2936;35,7768;48,5508;38,2247;34,9583;5,62827;39,8062;49,1049;29,1451;21,385;14,7197;19,7929;19,7081;12,1391;37,591;16,3136;7,31;28,584;39,0205;27,5528;33,6072;19,9733;26,7159;46,9603;39,2253;36,8788;18,3083;16,8179;3,70131;8,49937;13,444;54,1972;10,2123
17.01.2020 01:00;21,8048;17,3461;29,8463;16,0724;32,0452;19,8131;28,5541;35,0995;23,8618;33,3947;37,4;27,6;15,6;18,948917;26,4;28,4;25,2;;27,9298;22,7;24,2;6,739775;24,7;26,5;15,1;31,8;28,6;30;27,6;28,7;36,6;38,8;23,7;41,6;19,2;26,6;22,2;14,912;10,2176;20,6767;9,71778;25,8902;37,2181;25,0291;30,8363;48,0523;53,1515;24,4539;46,0086;29,2631;22,79;30,5187;9;34,978;32,8544;27,4884;36,8974;;23,8;15,8;33,58;26,19;34,6;35,29;32,03;22,3;60,12;37,26;50,4;42,769653;26,5229;29,3982;37,9261;;19,5;9,7;;33,1;27,3222;4,97651;37,0546;22,73;28,8366;36,1649;30,0183;;15,6435;25,1571;16,1328;10,4754;13,2358;25,4166;7,32881;10,925;11,2027;21,6;33,7;33;26;45,8;0,255;32,0733;46,7208;48,6168;42,6597;22,901;61,7645;56,6366;34,2593;49,2483;38,3898;37,0636;5,47295;34,1406;45,028;26,5226;18,394;16,7109;16,8097;16,8063;13,3165;31,7854;16,7672;6,62;30,4125;36,7148;26,4853;31,5226;19,2627;24,1013;42,2143;38,9602;32,8752;13,4047;12,4718;3,54092;10,9977;33,8312;20,2964;12,4832
17.01.2020 02:00;20,0622;17,6122;26,3511;12,0484;32,2932;20,2762;26,5853;33,068;23,0693;31,1752;31;25,4;17,8;22,568244;25,6;26,3;22,8;;26,5907;18,9;22,8;6,493184;19,5;19,4;14,6;30,6;26,5;25;25,3;25,2;37,2;36,3;23,6;36,4;18,2;22,3;19,5;13,1312;8,26101;17,7837;9,78;28,0857;31,2273;34,9832;30,097;42,8808;45,974;23,7593;39,6676;24,5931;8,19717;26,6819;7,4;32,3719;28,8828;30,4027;38,7626;;18,6;17,2;25,48;31,89;38,5;31,89;29,63;22,5;53,02;37,16;47,2;37,669823;20,8142;28,5041;38,4041;;16,9;8,7;;29,5;21,6853;4,53994;38,4593;25,59;25,6035;32,8588;26,971;;32,1665;31,3857;46,8469;8,64135;13,1062;21,0559;7,7506;9,84266;10,0682;22;33,3;34,8;25;43,8;7,815;33,1727;40,1568;45,0005;44,5233;25,4118;47,6184;60,4967;32,3282;44,213;38,863;42,8724;4,72203;42,0647;45,2002;26,6565;19,0106;20,4611;14,1499;18,8635;14,3761;27,8132;26,7669;5,81;27,1211;34,7435;24,0402;29,8273;20,3207;21,5266;36,8543;34,7678;23,5367;9,72411;10,6859;3,63227;11,0184;19,5103;14,673;15,5573
17.01.2020 03:00;21,3602;19,4052;26,025;10,9167;31,9126;18,0137;23,9855;30,6462;22,8569;32,4636;29,8;27,6;22,3;25,138733;21,5;20,5;21,8;;26,5907;20,6;23,1;6,646592;21,2;17,5;12,7;29,5;26,6;23;21;23,9;35,2;34,9;25,3;34,3;18,3;26,3;21,5;10,2265;7,22077;16,3699;9,99611;21,6551;30,9644;25,3444;29,0783;39,8965;41,0761;28,4006;39,9624;21,0848;8,00119;21,8644;5,5;30,0642;25,047;29,1899;39,6235;;17,7;18;31,48;31,09;34,8;27,99;25,93;24,8;39,82;40,16;39,5;30,569993;25,4557;31,1087;39,5284;;16,9;8,3;;26,9;31,6266;5,10451;37,2969;24,43;21,9455;28,4357;24,8337;;36,3971;33,8951;40,0888;20,1449;15,2737;19,5917;6,73956;11,2978;10,8642;22,7;34,8;30,3;26;34,5;2,345;26,9921;40,2025;40,571;42,2337;25,9076;43,5814;56,3865;31,4535;38,358;37,8698;44,1725;4,29905;47,0705;40,4423;23,2074;21,7267;21,4282;13,2109;14,3484;11,8289;27,4781;30,2553;5,11;24,6441;33,5559;24,6629;26,9577;23,431;18,8317;29,8325;31,6378;23,8867;9,71924;8,8784;4,29138;11,1894;19,7203;13,1126;15,6359
